Title,Processor,Ram,OS,Storage,Display,Warranty,Discount Price,Original Price,Delivery,Note,Offer,Reviews
ASUS Vivobook S14 OLED Intel EVO H-Series Intel Core i7 12th Gen 12700H - (16 GB/512 GB SSD/Windows 11...,Intel Core i7 Processor (12th Gen),16 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,35.56 cm (14 inch) Display,Office Home and Student 2021,"?73,990","?1,16,990",Free delivery,EOSS Special Deal,"Upto ?28,000 Off on Exchange",4.3168 Ratings & 25 Reviews
Acer Aspire 3 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) A315-59-36HE Thin and L...,Intel Core i3 Processor (12th Gen),8 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,"?32,990","?44,100",Free delivery,Save extra with combo offers,Only 2 left,4.2532 Ratings & 33 Reviews
Acer Aspire 3 Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) A315-59 Thin and Light...,Intel Core i5 Processor (12th Gen),16 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display,1 Year International Travelers Warranty,"?45,990","?51,999",Free delivery,Save extra with combo offers,"Upto ?30,000 Off on Exchange",4674 Ratings & 52 Reviews
Acer Aspire 7 Intel Core i5 12th Gen 12450H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA Ge...,Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display,1 Year Onsite Warranty,"?52,990","?83,999",Free delivery,EOSS Special Deal,"Upto ?30,000 Off on Exchange","4.21,604 Ratings & 148 Reviews"
HP Victus gaming AMD Ryzen 5 Hexa Core 5600H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/AMD Rade...,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,"?47,990","?63,628",Free delivery,EOSS Special Deal,"Upto ?30,000 Off on Exchange","4.21,147 Ratings & 99 Reviews"
HP G8 Series Intel Core i5 11th Gen Intel® Core™ i5-1135G - (8 GB/512 GB SSD/Windows 11 Home) 240 G8 B...,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,35.56 cm (14 inch) Display,NA,"?39,999","?64,947",Free delivery,EOSS Special Deal,Only few left,3.526 Ratings & 1 Reviews
DELL Intel Core i3 11th Gen 1115G4 - (8 GB/512 GB SSD/DOS) Vostro 3400 Business Laptop,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,Linux/Ubuntu Operating System,512 GB SSD,35.56 cm (14 Inch) Display,1 Year Onsite Warranty,"?29,490","?35,519",Free delivery,EOSS Special Deal,Only few left,3.6137 Ratings & 9 Reviews
ZEBRONICS Pro Series Z Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) ZEB-NBC 4S Thi...,Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display,1 Year Carry-in Warranty,"?31,990","?60,999",Free delivery,EOSS Special Deal,"Upto ?28,000 Off on Exchange",3.8266 Ratings & 48 Reviews
HP 250 G9 Intel Core i3 12th Gen Intel Core i3 1215U - (8 GB/512 GB SSD/Windows 11 Home) 250 G9 Busine...,Intel Core i3 Processor (12th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 inch) Display,Windows,"?34,400","?47,554",Free delivery,Save extra with combo offers,Only few left,4.348 Ratings & 4 Reviews
ASUS Vivobook 14 Intel Core i5 11th Gen 1135G7 - (16 GB/512 GB SSD/Windows 11 Home) X1400EA-EK543WS Th...,Intel Core i5 Processor (11th Gen),16 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,35.56 cm (14 inch) Display,1 Year Onsite Warranty,"?45,990","?60,990",Free delivery,Save extra with combo offers,Only 1 left,"4.38,125 Ratings & 598 Reviews"
Lenovo AMD Ryzen 5 Hexa Core 7530U - (16 GB/512 GB SSD/Windows 11 Home) ThinkBook 16 G6 Thin and Light...,AMD Ryzen 5 Hexa Core Processor,16 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,40.64 cm (16 Inch) Display,1 Year Onsite warranty,"?42,990","?86,130",Free delivery,Save extra with combo offers,"Upto ?28,000 Off on Exchange",4.823 Ratings & 6 Reviews
HP 360 Intel Celeron Dual Core N4120 - (4 GB/64 GB EMMC Storage/Chrome OS) 14a-ca0506TU Chromebook,Intel Celeron Dual Core Processor,4 GB LPDDR4 RAM,64 bit Chrome Operating System,35.56 cm (14 Inch) Touchscreen Display,1 Year Onsite Warranty,,"?18,990","?32,295",Free delivery,Lowest Price in 30 days,Only few left,"3.91,136 Ratings & 102 Reviews"
Lenovo Intel Core i5 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) 82TW0019IH Laptop,Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,35.56 cm (14 inch) Display,3 YEARS,"?46,990","?99,999",Free delivery,EOSS Special Deal,Only few left,435 Ratings & 2 Reviews
Acer Swift Go 14 AI Powered EVO Intel Core Ultra 5 125H - (16 GB/512 GB SSD/Windows 11 Home) SFG14-72T...,Intel Core Ultra 5 Processor,16 GB LPDDR5X RAM,Windows 11 Operating System,512 GB SSD,35.56 cm (14 Inch) Touchscreen Display,1 Year International Travelers Warranty (ITW),"?79,990","?1,29,999",Free delivery,EOSS Special Deal,"Upto ?33,000 Off on Exchange",4.249 Ratings & 12 Reviews
Lenovo IdeaPad Slim 3 Intel Core i3 12th Gen 1215U - (8 GB/256 GB SSD/Windows 11 Home) 15IAU7 Thin and...,Intel Core i3 Processor (12th Gen),8 GB DDR4 RAM,Windows 11 Operating System,256 GB SSD,39.62 cm (15.6 Inch) Display,1 Year Carry-in Warranty,"?32,990","?47,490",Free delivery,EOSS Special Deal,Only 4 left,4.1736 Ratings & 61 Reviews
