Title,Processor,Ram,OS,Storage,Display,Warranty,Discount Price,Original Price,Delivery,Note,Offer,Reviews
HP Chromebook (2023) MediaTek Kompanio 1200 - (8 GB/256 GB SSD/Chrome OS) 13b-ca0006MU Chromebook,MediaTek Kompanio 1200 Processor,8 GB LPDDR4X RAM,64 bit Chrome Operating System,256 GB SSD,33.78 cm (13.3 Inch) Display,1 Year Onsite Warranty,"?34,990","?47,267",Free delivery,EOSS Special Deal,"Upto ?28,000 Off on Exchange",4.532 Ratings & 4 Reviews
DELL AMD Ryzen 5 Quad Core 7520U - (8 GB/1 TB SSD/Windows 11 Home) Inspiron 3535 Thin and Light Laptop,AMD Ryzen 5 Quad Core Processor,8 GB DDR4 RAM,Windows 11 Operating System,1 TB SSD,39.62 cm (15.6 Inch) Display,1 Year Onsite Hardware Service,"?44,990","?67,480",Free delivery,Bank Offer,,4.2354 Ratings & 37 Reviews
ASUS Vivobook Go 14 (2023) Intel Intel Core i3 12th Gen N305 - (8 GB/512 GB SSD/Windows 11 Home) E1404...,Intel Core i3 Processor (12th Gen),8 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,35.56 cm (14 Inch) Display,1 Year Onsite Warranty,"?34,990","?50,990",Free delivery,Save extra with combo offers,"Upto ?28,000 Off on Exchange",4.912 Ratings & 1 Reviews
SAMSUNG Galaxy Book4 Pro Evo Intel Core Ultra 7 155H - (16 GB/512 GB SSD/Windows 11 Home) NP960XGK-LG2...,Intel Core Ultra 7 Processor,16 GB LPDDR5X RAM,64 bit Windows 11 Operating System,512 GB SSD,40.64 cm (16 inch) Touchscreen Display,MS Office Home and Student 2021,"?1,41,990","?1,72,489",Free delivery,Save extra with combo offers,"Upto ?28,000 Off on Exchange",4.357 Ratings & 6 Reviews
HP Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) 15s-fy5007TU Thin and Light Laptop,Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display,1 Year Onsite Warranty,"?49,650","?60,990",Free delivery,Save extra with combo offers,Bank Offer,4.716 Ratings & 3 Reviews
MSI Katana 17 Intel Core i7 13th Gen 13620H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA G...,Intel Core i7 Processor (13th Gen),16 GB DDR5 RAM,Windows 11 Operating System,512 GB SSD,43.94 cm (17.3 Inch) Display,2 Year Carry-in Warranty,"?89,990","?1,23,990",Free delivery,Save extra with combo offers,"Upto ?30,000 Off on Exchange",4.211 Ratings & 3 Reviews
Lenovo IdeaPad Slim 3 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home) 15IAH8 Thin a...,Intel Core i5 Processor (12th Gen),16 GB LPDDR5 RAM,Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display,1 Year Onsite warranty,"?56,400","?69,990",Free delivery,Bank Offer,,4.427 Ratings & 3 Reviews
Lenovo IdeaPad Flex 5 Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) 14IRU8 2 in 1 L...,Intel Core i3 Processor (13th Gen),8 GB LPDDR4X RAM,Windows 11 Operating System,512 GB SSD,35.56 cm (14 Inch) Touchscreen Display,1 Year Onsite Premium Support with 1 Year Onsite Warranty,"?58,144","?86,290",Free delivery,Lowest price since launch,"Upto ?28,000 Off on Exchange",4.729 Ratings & 5 Reviews
SAMSUNG Galaxy Book3 360 EVO AMOLED Intel Core i7 13th Gen 1360P - (16 GB/1 TB SSD/Windows 11 Home) NP...,Intel Core i7 Processor (13th Gen),16 GB DDR4X RAM,Windows 11 Operating System,1 TB SSD,39.62 cm (15.6 Inch) Touchscreen Display,1 Year Onsite Warranty,"?1,33,990","?1,53,446",Free delivery,Save extra with combo offers,"Upto ?28,000 Off on Exchange",4.396 Ratings & 16 Reviews
ASUS TUF Gaming F17 (2022) with 90Whr Battery Intel Core i7 12th Gen 12700H - (16 GB/1 TB SSD/Windows ...,Intel Core i7 Processor (12th Gen),16 GB DDR5 RAM,64 bit Windows 11 Operating System,1 TB SSD,43.94 cm (17.3 inch) Display,1 Year Onsite Warranty,"?1,13,500","?1,65,990",Free delivery,Bank Offer,,4.36 Ratings & 0 Reviews
ASUS ROG Strix G16 (2023) with 90WHr Battery Intel HX-Series Intel Core i9 13th Gen 13980HX - (16 GB/1...,Intel Core i9 Processor (13th Gen),16 GB DDR5 RAM,Windows 11 Operating System,1 TB SSD,40.64 cm (16 Inch) Display,1 Year Onsite Warranty,"?1,59,990","?1,79,990",Free delivery,Lowest Price in 30 days,"Upto ?28,000 Off on Exchange",4.5354 Ratings & 27 Reviews
"ASUS Vivobook Pro 15 For Creator, AMD Ryzen 5 Hexa Core 5600HS - (16 GB/1 TB SSD/Windows 11 Home/4 GB ...",AMD Ryzen 5 Hexa Core Processor,16 GB DDR4 RAM,Windows 11 Operating System,1 TB SSD,39.62 cm (15.6 Inch) Display,1 Year Onsite Warranty,"?61,990","?85,990",Free delivery,EOSS Special Deal,"Upto ?28,000 Off on Exchange",3.680 Ratings & 9 Reviews
Lenovo LOQ (2024) Intel Core i5 12th Gen 12450HX - (12 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVI...,Intel Core i5 Processor (12th Gen),12 GB DDR5 RAM,Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 inch) Display,1 Year Carry-in Warranty,"?58,990","?80,090",Free delivery,Save extra with combo offers,Bank Offer,4.332 Ratings & 2 Reviews
Acer Intel Celeron Dual Core N4500 - (8 GB/64 GB EMMC Storage/Chrome OS) CB314-3H-COBZ Chromebook,Intel Celeron Dual Core Processor,8 GB LPDDR4X RAM,Chrome Operating System,35.56 cm (14 inch) Display,1 Year Onsite Warranty,,"?17,990","?33,999",Free delivery,EOSS Special Deal,"Upto ?11,500 Off on Exchange",4.5203 Ratings & 19 Reviews
Acer Swift Go 14 AMD Ryzen 5 Hexa Core 7530U - (8 GB/512 GB SSD/Windows 11 Home) SFG14-41 Thin and Lig...,AMD Ryzen 5 Hexa Core Processor,8 GB LPDDR4X RAM,64 bit Windows 11 Operating System,512 GB SSD,35.56 cm (14 Inch) Display,1 Year International Travelers Warranty,"?49,990","?79,999",Free delivery,Save extra with combo offers,"Upto ?30,000 Off on Exchange",3.767 Ratings & 9 Reviews
HP Victus AI Powered AMD Ryzen 7 Octa Core 7840HS - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NV...,AMD Ryzen 7 Octa Core Processor,16 GB DDR5 RAM,64 bit Windows 11 Operating System,512 GB SSD,40.89 cm (16.1 Inch) Display,Microsoft Office 2021 t,"?80,990","?96,136",Free delivery,Save extra with combo offers,"Upto ?31,000 Off on Exchange",4.2101 Ratings & 2 Reviews
DELL Inspiron 5430 Intel Core i5 13th Gen - (16 GB/512 GB SSD/Windows 11 Home) IN54308TR2G001ORS1 Thin...,Intel Core i5 Processor (13th Gen),16 GB LPDDR5 RAM,64 bit Windows 11 Operating System,512 GB SSD,35.56 cm (14 inch) Display,1-year warranty,"?67,990","?93,162",Free delivery,Bank Offer,,
DELL Inspiron 15 3530 Intel Core i5 13th Gen - (8 GB/1 TB SSD/Windows 11 Home) IN3530RW8JY001ORS1 Thin...,Intel Core i5 Processor (13th Gen),8 GB DDR4 RAM,Windows 11 Operating System,1 TB SSD,39.62 cm (15.6 inch) Display,1-year warranty,"?59,790","?74,440",Free delivery,Bank Offer,,
ASUS Vivobook S 15 OLED (2023) Intel EVO H-Series Intel Core i5 13th Gen 13500H - (16 GB/512 GB SSD/Wi...,Intel Core i5 Processor (13th Gen),16 GB LPDDR5 RAM,Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display,1 Year Onsite Warranty,"?77,990","?1,05,990",Free delivery,Lowest price since launch,"Upto ?28,000 Off on Exchange",4.498 Ratings & 14 Reviews
ASUS Vivobook 14 AMD Ryzen 5 Quad Core 7520U - (16 GB/512 GB SSD/Windows 11 Home) E1404FA-NK547WS Thin...,AMD Ryzen 5 Quad Core Processor,16 GB LPDDR5 RAM,Windows 11 Operating System,512 GB SSD,35.56 cm (14 Inch) Display,Microsoft Office Home & Student 2021,"?44,990","?70,990",Free delivery,EOSS Special Deal,Bank Offer,4.123 Ratings & 5 Reviews
DELL Inspiron Intel Core i5 11th Gen 11320H - (16 GB/512 GB SSD/Windows 11 Home) Inspiron 5518 Thin an...,Intel Core i5 Processor (11th Gen),16 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display,1 Year Onsite Warranty,"?36,607","?90,783",,,,4.4432 Ratings & 34 Reviews
HP Victus AMD Ryzen 7 Octa Core 5800H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce...,AMD Ryzen 7 Octa Core Processor,16 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display,1 Year Onsite Warranty,"?69,590","?95,554",Free delivery,EOSS Special Deal,Bank Offer,4.285 Ratings & 6 Reviews
MSI GF63 Intel Core i7 12th Gen 12650H - (16 GB/512 GB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeForc...,Intel Core i7 Processor (12th Gen),16 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display,2 Year Carry-in Warranty,"?92,990","?1,11,990",Free delivery,Save extra with combo offers,"Upto ?30,000 Off on Exchange",4.4435 Ratings & 38 Reviews
HP Victus Intel Core i5 12th Gen 12450H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForc...,Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,"?56,990","?77,566",Free delivery,EOSS Special Deal,"Upto ?30,000 Off on Exchange",4.721 Ratings & 2 Reviews
Acer Aspire 3 Spin 14 Intel Core i3 13th Gen N305 - (8 GB/512 GB SSD/Windows 11 Home) A3SP14-31PT-3554...,Intel Core i3 Processor (13th Gen),8 GB LPDDR5 RAM,Windows 11 Operating System,512 GB SSD,35.56 cm (14 inch) Touchscreen Display,1 Year Onsite Warranty,"?41,990","?55,999",Free delivery,EOSS Special Deal,"Upto ?30,000 Off on Exchange",4.829 Ratings & 6 Reviews
MSI Katana 17 Intel Core i7 12th Gen 12650H - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeF...,Intel Core i7 Processor (12th Gen),16 GB DDR5 RAM,Windows 11 Operating System,1 TB SSD,43.94 cm (17.3 Inch) Display,2 Year Carry-in Warranty,"?1,05,990","?1,49,990",Free delivery,EOSS Special Deal,"Upto ?30,000 Off on Exchange",4.33 Ratings & 0 Reviews
LG Gram Intel Core i5 12th Gen 1240P - (8 GB/512 GB SSD/Windows 11 Home) 14Z90Q Thin and Light Laptop,Intel Core i5 Processor (12th Gen),8 GB DDR5 RAM,64 bit Windows 11 Operating System,512 GB SSD,35.56 cm (14 Inch) Display,"Onsite 3 year warranty - 1st year internationally cover-up, rest 2 year India","?64,762","?1,27,000",Free delivery,Save extra with combo offers,"Upto ?28,000 Off on Exchange",4.342 Ratings & 3 Reviews
DELL Inspiron Intel Core i5 12th Gen Core i5 - (8 GB/512 GB SSD/Windows 11 Home) 3520 Laptop,Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 inch) Display,Office Home & Student 2021,"?49,990","?65,104",Free delivery,Bank Offer,,4.888 Ratings & 7 Reviews
Apple MacBook Air Apple M3 - (8 GB/256 GB SSD/macOS Sonoma) MRXN3HN/A,Apple M3 Processor,8 GB Unified Memory RAM,Mac OS Operating System,256 GB SSD,33.02 cm (13 Inch) Display,"Built-in Apps: App Store, Books, Calendar, Contacts, FaceTime, Find My, Freeform, GarageBand, Home, iMovie, Keynote, Mail, Maps, Messages, Music, Notes, Numbers, Pages, Photo Booth, Photos, Podcasts, Preview, QuickTime Player, Reminders, Safari, Shortcuts, Siri, Stocks, Time Machine, TV, Voice Memos","?1,07,990","?1,14,900",Free delivery,Save extra with combo offers,"Upto ?33,000 Off on Exchange",4.4231 Ratings & 23 Reviews
ASUS AMD Ryzen 7 Quad Core - (16 GB/1 TB SSD/Windows 11 Home) UM3402YA-KM751WS Thin and Light Laptop,AMD Ryzen 7 Quad Core Processor,16 GB DDR4 RAM,Windows 11 Operating System,1 TB SSD,35.56 cm (14 inch) Display,1 Year Domestic Warranty,"?87,990","?1,20,990",Free delivery,Bank Offer,,"4.23,041 Ratings & 236 Reviews"
ASUS Zenbook 14X OLED AMD Ryzen 7 Octa Core 5800HS - (16 GB/1 TB SSD/Windows 11 Home) UM5401QA-KM751WS...,AMD Ryzen 7 Octa Core Processor,16 GB LPDDR4X RAM,Windows 11 Operating System,1 TB SSD,35.56 cm (14 Inch) Display,1 Year Onsite Warranty,"?70,990","?98,990",Free delivery,EOSS Special Deal,"Upto ?28,000 Off on Exchange",4.248 Ratings & 9 Reviews
Lenovo IdeaPad Slim 3 Intel Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) 15ITL6 Thin and Light...,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,Windows 11 Operating System,256 GB SSD,100.63 cm (39.62 cm) Display,1Year Onsite warranty + 1 Year Accidental Damage Protection,"?31,990","?49,190",Free delivery,Save extra with combo offers,"Upto ?28,000 Off on Exchange",4.537 Ratings & 3 Reviews
Lenovo V15 AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/DOS) V15 G4 Thin and Light Laptop,AMD Ryzen 3 Quad Core Processor,8 GB LPDDR5 RAM,DOS Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display,1 Year Onsite Warranty,"?28,990","?36,424",Free delivery,EOSS Special Deal,Bank Offer,4.69 Ratings & 1 Reviews
MSI Katana 17 Intel Core i7 12th Gen 12650H - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeF...,Intel Core i7 Processor (12th Gen),16 GB DDR5 RAM,Windows 11 Operating System,1 TB SSD,43.94 cm (17.3 Inch) Display,2 Year Carry-in Warranty,"?1,00,990","?1,32,990",Free delivery,Lowest Price in 30 days,"Upto ?30,000 Off on Exchange",4.722 Ratings & 4 Reviews
HP 255 G9 AMD Ryzen 5 Hexa Core AMD Ryzen5-5625U - (8 GB/512 GB SSD/DOS) G9 Business Laptop,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,DOS Operating System,512 GB SSD,39.62 cm (15.6 inch) Display,DOS,"?32,290","?46,000",Free delivery,Bank Offer,,4.3138 Ratings & 17 Reviews
Lenovo IdeaPad Slim 5 AMD Ryzen 7 Octa Core 7730U - (16 GB/512 GB SSD/Windows 11 Home) 14ABR8 Thin and...,AMD Ryzen 7 Octa Core Processor,16 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,35.56 cm (14 Inch) Display,1 Year Onsite Premium Support with 1 Year Onsite Warranty,"?61,190","?93,590",Free delivery,EOSS Special Deal,"Upto ?28,000 Off on Exchange",4.3171 Ratings & 22 Reviews
Lenovo IdeaPad Slim 5 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home) 16IAH8 Laptop,Intel Core i5 Processor (12th Gen),16 GB LPDDR5 RAM,Windows 11 Operating System,512 GB SSD,40.64 cm (16 Inch) Display,1 Year Onsite Premium Support with 1 Year Onsite Warranty,"?61,990","?84,290",Free delivery,EOSS Special Deal,"Upto ?28,000 Off on Exchange",4.729 Ratings & 5 Reviews
Lenovo LOQ AMD Ryzen 5 Hexa Core 7640HS - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeFor...,AMD Ryzen 5 Hexa Core Processor,16 GB DDR5 RAM,Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display,Office Home & Student 2021,"?67,990","?89,290",Free delivery,Bank Offer,,4.4470 Ratings & 59 Reviews
HP Omen Intel Core i7 13th Gen 13620H - (16 GB/1 TB SSD/Windows 11 Pro/8 GB Graphics/NVIDIA GeForce RT...,Intel Core i7 Processor (13th Gen),16 GB DDR5 RAM,Windows 11 Operating System,1 TB SSD,40.89 cm (16.1 inch) Display,1 Year Onsite Warranty,"?1,24,990","?1,46,134",Free delivery,Save extra with combo offers,"Upto ?31,000 Off on Exchange",
HP Envy x360 Creator Intel Core i5 12th Gen I5 1230U - (16 GB + 16 GB Optane/512 GB SSD/Windows 11 Hom...,Intel Core i5 Processor (12th Gen),16 GB LPDDR4X RAM,Windows 11 Operating System,512 GB SSD,85.8 cm (33.78 inch) Touchscreen Display,1 Year Onsite Warranty,"?80,490","?93,527",Free delivery,Save extra with combo offers,"Upto ?28,000 Off on Exchange",
SAMSUNG Galaxy Book3 360 EVO AMOLED Intel Core i7 13th Gen 1360P - (16 GB/1 TB SSD/Windows 11 Home) NP...,Intel Core i7 Processor (13th Gen),16 GB DDR4X RAM,Windows 11 Operating System,1 TB SSD,39.62 cm (15.6 Inch) Touchscreen Display,1 Year Onsite Warranty,"?1,33,990","?1,53,446",Free delivery,Save extra with combo offers,"Upto ?28,000 Off on Exchange",
Lenovo IdeaPad Gaming 3 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphic...,Intel Core i5 Processor (12th Gen),16 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 inch) Display,Microsoft Office Home & Student 2021,"?66,990","?94,690",Free delivery,Save extra with combo offers,"Upto ?28,000 Off on Exchange",
Lenovo V15 AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/DOS) V15 G4 Thin and Light Laptop,AMD Ryzen 3 Quad Core Processor,8 GB LPDDR5 RAM,DOS Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display,1 Year Onsite Warranty,"?28,990","?36,424",Free delivery,EOSS Special Deal,Bank Offer,4.248 Ratings & 9 Reviews
Lenovo LOQ AMD Ryzen 5 Hexa Core 7640HS - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeFor...,AMD Ryzen 5 Hexa Core Processor,16 GB DDR5 RAM,Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display,Office Home & Student 2021,"?67,990","?89,290",Free delivery,Bank Offer,,4.712 Ratings & 2 Reviews
MSI Pulse 15 Intel Core i7 13th Gen 13700H - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeFo...,Intel Core i7 Processor (13th Gen),16 GB DDR5 RAM,Windows 11 Operating System,1 TB SSD,39.62 cm (15.6 Inch) Display,2 Year Carry-in Warranty,"?1,26,990","?1,90,990",Free delivery,Lowest Price in 30 days,"Upto ?33,000 Off on Exchange","43,977 Ratings & 560 Reviews"
Infinix Y1 Plus Neo Intel Intel Celeron Quad Core 11th Gen JSL N5100 - (8 GB/512 GB SSD/Windows 11 Hom...,Intel Celeron Quad Core Processor (11th Gen),8 GB LPDDR4X RAM,Windows 11 Operating System,512 GB SSD,39.01 cm (15.36 inch) Display,1 Year Onsite Warranty,"?22,990","?39,990",Free delivery,Save extra with combo offers,"Upto ?22,200 Off on Exchange",436 Ratings & 4 Reviews
AXL Intel Celeron Dual Core 9th Gen - (4 GB/256 GB SSD/Windows 11 Home) 15W_LAP02 Thin and Light Lapto...,Intel Celeron Dual Core Processor (9th Gen),4 GB DDR4 RAM,Windows 11 Operating System,256 GB SSD,39.62 cm (15.6 inch) Display,1 Year,"?17,036","?33,990",Free delivery,Bank Offer,,3.925 Ratings & 6 Reviews
Acer Swift 3 Intel Core i5 8th Gen 8250U - (8 GB + 16 GB Optane/1 TB HDD/Windows 10 Home/2 GB Graphics...,Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD,39.62 cm (15.6 inch) Display,"Acer Care Center, Acer Configuration Manager, Acer Quick Access","?52,891","?73,199",Free delivery,Lowest price in the year,"Upto ?28,000 Off on Exchange",4.3171 Ratings & 22 Reviews
HP Envy x360 Creator Intel Core i5 12th Gen I5 1230U - (16 GB + 16 GB Optane/512 GB SSD/Windows 11 Hom...,Intel Core i5 Processor (12th Gen),16 GB LPDDR4X RAM,Windows 11 Operating System,512 GB SSD,85.8 cm (33.78 inch) Touchscreen Display,1 Year Onsite Warranty,"?80,490","?93,527",Free delivery,Save extra with combo offers,"Upto ?28,000 Off on Exchange",4.1738 Ratings & 128 Reviews
WINGS Nuvobook S2 Aluminium Alloy Metal Body Intel Intel Core i3 11th Gen 1125G4 - (8 GB/512 GB SSD/Wi...,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display,1 Year Onsite Warranty,"?24,990","?52,999",Free delivery,Save extra with combo offers,"Upto ?15,000 Off on Exchange","4.41,396 Ratings & 134 Reviews"
ASUS Vivobook Go 15 OLED (2023) AMD Ryzen 5 Quad Core 7520U - (8 GB/512 GB SSD/Windows 11 Home) E1504F...,AMD Ryzen 5 Quad Core Processor,8 GB LPDDR5 RAM,Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display,1 Year Onsite Warranty,"?50,990","?74,990",Free delivery,Save extra with combo offers,"Upto ?28,000 Off on Exchange","4.23,586 Ratings & 402 Reviews"
ASUS Vivobook Go 15 (2023) AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) E1504FA-NJ3...,AMD Ryzen 3 Quad Core Processor,8 GB LPDDR5 RAM,Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display,1 Year Onsite Warranty,"?35,990","?50,990",Free delivery,Save extra with combo offers,"Upto ?28,000 Off on Exchange",4.3602 Ratings & 76 Reviews
MSI Modern 14 AMD Ryzen 5 Hexa Core 7530U - (8 GB/512 GB SSD/Windows 11 Home) Modern 14 C7M-063IN Thin...,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,35.56 cm (14 Inch) Display,1 Year Carry-in Warranty,"?36,990","?61,990",Free delivery,Save extra with combo offers,"Upto ?28,000 Off on Exchange",4.2127 Ratings & 18 Reviews
MSI Bravo 15 AMD Ryzen 5 Hexa Core 7535HS - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/AMD Radeon ...,AMD Ryzen 5 Hexa Core Processor,8 GB DDR5 RAM,Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 inch) Display,1 Year Carry-in Warranty,"?49,990","?67,990",Free delivery,Save extra with combo offers,"Upto ?30,000 Off on Exchange",4.249 Ratings & 2 Reviews
HP Intel Core i5 13th Gen 1335U - (8 GB/512 GB SSD/Windows 11 Home) 15-hr0000TU Thin and Light Laptop,Intel Core i5 Processor (13th Gen),8 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display,1 Year Onsite Warranty,"?61,490","?75,059",Free delivery,Save extra with combo offers,"Upto ?28,000 Off on Exchange","4.31,406 Ratings & 145 Reviews"
HP Intel Core i3 11th Gen 1115G4 - (8 GB/512 GB SSD/Windows 10 Home) 15s-FR2006TU Thin and Light Lapto...,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD,39.62 cm (15.6 inch) Display,"Microsoft Office Home & Student 2019, HP Documentation, HP BIOS Recovery","?36,998","?50,200",Free delivery,Bank Offer,,4.226 Ratings & 1 Reviews
Lenovo ThinkBook 15 G5 AMD Ryzen 5 Hexa Core 7530U - (8 GB/512 GB SSD/Windows 11 Home) Think Book 15 G...,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display,1 Year Onsite Warranty,"?38,990","?72,000",Free delivery,Save extra with combo offers,"Upto ?28,000 Off on Exchange",4.7100 Ratings & 8 Reviews
Apple 2022 MacBook AIR Apple M2 - (8 GB/512 GB SSD/Mac OS Monterey) MLY23HN/A,Apple M2 Processor,8 GB Unified Memory RAM,Mac OS Operating System,512 GB SSD,34.54 cm (13.6 Inch) Display,"Built-in Apps: iMovie, Siri, GarageBand, Pages, Numbers, Photos, Keynote, Safari, Mail, FaceTime, Messages, Maps, Stocks, Home, Voice Memos, Notes, Calendar, Contacts, Reminders, Photo Booth, Preview, Books, App Store, Time Machine, TV, Music, Podcasts, Find My, QuickTime Player","?1,12,990","?1,19,900",Free delivery,Save extra with combo offers,"Upto ?33,000 Off on Exchange","3.91,118 Ratings & 187 Reviews"
ASUS VivoBook 14 AMD APU Quad Core A12 A12-9720P - (4 GB/1 TB HDD/Windows 10 Home) X411QA-EK002T Thin ...,AMD APU Quad Core A12 Processor,4 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD,35.56 cm (14 inch) Display,Asus Splendid,"?23,990","?28,270",Free delivery,"Upto ?20,000 Off on Exchange",Bank Offer,4.436 Ratings & 3 Reviews
DELL Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) New Inspiron 14 2-in-1 2 in 1 La...,Processor: Intel i5-1235U (Base- 3.30 GHz & Turbo up to 4.40 GHz) 10 Cores,RAM & Storage: 8GB DDR4 & 512GB SSD,Graphics & Keyboard: Integrated & Backlit Keyboard + Fingerprint Reader,"Display: 14.0"" FHD+ WVA Truelife Touch Narrow Border 250 nits, Dell Active Pen",Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,"?69,490","?97,890",Free delivery,Daily Saver,Bank Offer,4.459 Ratings & 11 Reviews
Infinix Y4 Max Series Intel Core i3 13th Gen 1315U - (16 GB/512 GB SSD/Windows 11 Home) YL613 Thin and...,Intel Core i3 Processor (13th Gen),16 GB LPDDR4X RAM,Windows 11 Operating System,512 GB SSD,40.64 cm (16 inch) Display,NA,"?36,990","?59,990",Free delivery,Save extra with combo offers,"Upto ?28,000 Off on Exchange",4.3191 Ratings & 19 Reviews
HP Spectre x360 (2023) OLED Eyesafe Evo Intel Core i7 13th Gen 1360P - (32 GB/1 TB SSD/Windows 11 Home...,Intel Core i7 Processor (13th Gen),32 GB DDR4 RAM,64 bit Windows 11 Operating System,1 TB SSD,40.64 cm (16 Inch) Touchscreen Display,1 Year Onsite Warranty,"?1,89,990","?2,13,582",Free delivery,Save extra with combo offers,"Upto ?28,000 Off on Exchange",3.736 Ratings & 8 Reviews
HP 15s (2023) Intel Core i7 13th Gen 1360P - (16 GB/512 GB SSD/Windows 11 Home) 15-fd0024TU Thin and L...,Intel Core i7 Processor (13th Gen),16 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display,1 Year Onsite Warranty,"?77,990","?91,141",Free delivery,Daily Saver,"Upto ?28,000 Off on Exchange",4.129 Ratings & 0 Reviews
DELL AMD Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) Vostro 3425 Thin and Light Laptop,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,35.56 cm (14 inch) Display,1 Year Onsite Hardware Service,"?37,990","?61,204",Free delivery,Bank Offer,,3.913 Ratings & 0 Reviews
ASUS TUF Gaming F15 - AI Powered Gaming Intel Core i5 11th Gen 11400H - (8 GB/1 TB SSD/Windows 11 Home...,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,Windows 11 Operating System,1 TB SSD,39.62 cm (15.6 Inch) Display,1 Year Onsite Warranty,"?61,664","?81,990",Free delivery,Bank Offer,,
