Title,Processor,Ram,OS,Storage,Display,Warranty,Discount Price,Original Price,Delivery,Note,Offer,Reviews,Company,ProcessorCompany,ProcessorC
Acer Aspire 7 Intel Core i5 12th Gen 1240P - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeF...,Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,Windows 11,512 GB SSD,39.62 cm (15.6 Inch) Display,1 Year International Travelers Warranty (ITW),55100.0,88999.0,Free delivery,Bank Offer,,4.0,Acer,Intel,Intel
AXL Intel Celeron Dual Core 9th Gen - (4 GB/256 GB SSD/Windows 11 Home) 15W_LAP02 Thin and Light Lapto...,Intel Celeron Dual Core Processor (9th Gen),4 GB DDR4 RAM,Windows 11,256 GB SSD,39.62 cm (15.6 inch) Display,1 Year,17036.0,33990.0,Free delivery,Bank Offer,,4.0,AXL,Intel,Intel
Lenovo IdeaPad Gaming 3 Intel Intel Core i5 11th Gen 11320H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Gr...,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,Windows 11,512 GB SSD,39.62 cm (15.6 Inch) Display,1Year Onsite warranty,58499.0,84999.0,Free delivery,Bank Offer,,4.0,Lenovo,Intel,Intel
ASUS Vivobook Pro 15 OLED For Creator AMD Ryzen 5 Hexa Core 5600HS - (16 GB/512 GB SSD/Windows 11 Home...,AMD Ryzen 5 Hexa Core Processor,16 GB DDR4 RAM,Windows 11,512 GB SSD,39.62 cm (15.6 Inch) Display,1 Year Onsite Warranty,57990.0,86990.0,Free delivery,Lowest price since launch,"Upto ?28,000 Off on Exchange",4.0,ASUS,AMD,AMD
DELL Dell Vostro 3510 Intel Core i3 11th Gen 1115G4 - (8 GB/512 GB SSD/Windows 11 Home) Vostro 3510 La...,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,Windows 11,512 GB SSD,39.62 cm (15.6 inch) Display,1 Year Warranty by OEM,36990.0,43074.0,Free delivery,Daily Saver,"Upto ?28,000 Off on Exchange",4.0,DELL,Intel,Intel
HP OMEN Intel Core Ultra 7 155H - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeForce RTX 406...,Intel Core Ultra 7 Processor,16 GB LPDDR5X RAM,Windows 11,1 TB SSD,35.56 cm (14 inch) Display,Microsoft Office Home & Student 2021,169990.0,191668.0,Free delivery,Daily Saver,"Upto ?31,000 Off on Exchange",3.0,HP,Intel,Intel
Acer Aspire 5 Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) A515-57 Thin and Light ...,Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,Windows 11,512 GB SSD,39.62 cm (15.6 Inch) Display,1 Year International Travelers Warranty (ITW),54490.0,73990.0,Free delivery,Bank Offer,,4.0,Acer,Intel,Intel
HP Pavilion Plus Intel Core i7 13th Gen 13700H - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA ...,Intel Core i7 Processor (13th Gen),16 GB LPDDR5X RAM,Windows 11,1 TB SSD,40.64 cm (16 inch) Display,1 Year Onsite Warranty,111490.0,143922.0,Free delivery,Save extra with combo offers,Bank Offer,4.0,HP,Intel,Intel
Avita PURA E 14 AMD Ryzen 5 Quad Core 3rd Gen - (8 GB/512 GB SSD/Windows 10) NS14A6INV561-SGC Thin and...,AMD Ryzen 5 Quad Core Processor (3rd Gen),8 GB DDR4 RAM,Windows 10,512 GB SSD,35.81 cm (14.1 inch) Display,1 Year Domestic Warranty,20790.0,51490.0,Free delivery,Bank Offer,,4.0,Avita,AMD,AMD
HP 15s (2023) Intel Core i5 13th Gen 1335U - (8 GB/512 GB SSD/Windows 11 Home) 15-fd0022TU Thin and Li...,Intel Core i5 Processor (13th Gen),8 GB DDR4 RAM,Windows 11,512 GB SSD,39.62 cm (15.6 Inch) Display,1 Year Onsite Warranty,59490.0,72780.0,Free delivery,Save extra with combo offers,"Upto ?28,000 Off on Exchange",4.0,HP,Intel,Intel
ASUS TUF Gaming A15 with 90Whr Battery AMD Ryzen 7 Octa Core 5800H - (16 GB/512 GB SSD/Windows 11 Home...,AMD Ryzen 7 Octa Core Processor,16 GB DDR4 RAM,Windows 11,512 GB SSD,39.62 cm (15.6 Inch) Display,1 Year Onsite Warranty,86990.0,107990.0,Free delivery,Bank Offer,,4.0,ASUS,AMD,AMD
ASUS Chromebook Flip Touch Intel Celeron Dual Core N4020 - (4 GB/32 GB EMMC Storage/Chrome OS) C214MA-...,Intel Celeron Dual Core Processor,4 GB LPDDR4 RAM,Chrome,32 GB EMMC Storage,1 Year Onsite Warranty,,29431.0,31990.0,Free delivery,Save extra with combo offers,"Upto ?18,200 Off on Exchange",4.0,ASUS,Intel,Intel
HP Intel Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15s-FR2508TU Laptop,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,Windows 11,512 GB SSD,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,35600.0,51500.0,Free delivery,Bank Offer,,4.0,HP,Intel,Intel
Infinix Intel Core i7 10th Gen 1065G7 - (8 GB/512 GB SSD/Windows 11 Home/128 MB Graphics) XL21 Thin an...,Intel Core i7 Processor (10th Gen),8 GB LPDDR4X RAM,Windows 11,512 GB SSD,35.56 cm (14 Inch) Display,1 Year Onsite Warranty,43990.0,64990.0,Free delivery,Save extra with combo offers,"Upto ?28,000 Off on Exchange",4.0,Infinix,Intel,Intel
MSI Thin A15 AMD Ryzen 7 Octa Core 7735HS - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeFor...,AMD Ryzen 7 Octa Core Processor,16 GB DDR5 RAM,Windows 11,1 TB SSD,39.62 cm (15.6 Inch) Display,2 Year Carry-in Warranty,99990.0,111990.0,Free delivery,Save extra with combo offers,"Upto ?30,000 Off on Exchange",4.0,MSI,AMD,AMD
HP OMEN ARM Ryzen 7 Octa Core - (16 GB/512 GB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeForce RTX 406...,ARM Ryzen 7 Octa Core Processor,16 GB DDR5 RAM,Windows 11,512 GB SSD,40.89 cm (16.1 inch) Display,1 Year Onsite warranty,111990.0,144641.0,Free delivery,Save extra with combo offers,"Upto ?31,000 Off on Exchange",3.0,HP,ARM,ARM
